Season,Race,Driver,Team,Stint,Compound,NumLaps,DegRate,Intercept,MeanLapTime,WetAffected
season2025,Montréal,HUL,Kick Sauber,2.0,HARD,44,0.010565673682155339,78.73048811272852,76.62411363636363,False
season2025,Montréal,LAW,Racing Bulls,1.0,HARD,36,0.040874131274131004,78.17652475332476,77.94194444444446,False
season2025,Montréal,LAW,Racing Bulls,2.0,MEDIUM,12,0.004985163204744626,79.78645697329377,77.27966666666666,False
season2025,Montréal,LEC,Ferrari,1.0,HARD,26,-0.00743623931623959,77.60747931623932,76.70215384615385,False
season2025,Montréal,LEC,Ferrari,2.0,HARD,21,0.05390607912511988,76.89739198027235,75.34395238095237,False
season2025,Montréal,LEC,Ferrari,3.0,MEDIUM,11,0.1155999999999996,77.42534545454545,74.93454545454546,False
season2025,Montréal,NOR,McLaren,1.0,HARD,27,0.01558791208791148,77.18684798534797,76.59566666666667,False
season2025,Montréal,NOR,McLaren,2.0,MEDIUM,16,0.07752352941176494,76.58015147058819,75.199125,False
season2025,Montréal,NOR,McLaren,3.0,HARD,18,0.05345098039215353,77.07254248366016,74.47127777777779,False
season2025,Montréal,OCO,Haas F1 Team,1.0,HARD,54,0.027572173459513495,78.10855273440987,77.32279629629629,False
season2025,Montréal,PIA,McLaren,1.0,MEDIUM,14,0.07725714285714448,76.5544571428571,76.74364285714286,False
season2025,Montréal,PIA,McLaren,2.0,HARD,27,0.0337063492063489,76.84903439153439,75.64962962962963,False
season2025,Montréal,PIA,McLaren,3.0,HARD,18,0.04562110413785706,77.30124965429208,74.71005555555557,False
season2025,Montréal,RUS,Mercedes,1.0,MEDIUM,11,0.11222727272727202,75.59763636363635,76.3349090909091,False
season2025,Montréal,RUS,Mercedes,2.0,HARD,27,0.03187912087912166,76.7939711029711,75.76403703703704,False
season2025,Montréal,RUS,Mercedes,3.0,HARD,21,-0.0022815835837903713,77.9217396621411,74.83161904761904,False
season2025,Montréal,SAI,Williams,1.0,HARD,54,0.02967538859570186,78.12120692300832,77.39570370370369,False
